model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_8,0.3,Non-CV,R2_Score,-4.92171397553299e+20
LinearRegression(),dataset_8,0.3,Non-CV,MSE_Score,4.90454136045115e+20
LinearRegression(),dataset_8,0.3,Non-CV,MAE_Score,457470763.21586037
LinearRegression(),dataset_8,0.3,Non-CV,RMSE_Score,22146199133.149574
LinearRegression(),dataset_8,0.3,Non-CV,RMSLE_Score,23.820931722015622
LinearRegression(),dataset_8,0.3,10 Fold-CV,Mean_Score,-1.602311605606407e+20
LinearRegression(),dataset_8,0.3,10 Fold-CV,Min_Score,-6.503596790452135e+20
LinearRegression(),dataset_8,0.3,10 Fold-CV,Max_Score,-2.2121729469780577e+18
LinearRegression(),dataset_8,0.3,10 Fold-CV,cv_scores,"[-9.14718582e+18 -6.50359679e+20 -3.55222322e+19 -2.21217295e+18
 -1.03914533e+20]"
LinearRegression(),dataset_9,0.3,Non-CV,R2_Score,1.0
LinearRegression(),dataset_9,0.3,Non-CV,MSE_Score,9.141601111127733e-28
LinearRegression(),dataset_9,0.3,Non-CV,MAE_Score,2.3555255089178787e-14
LinearRegression(),dataset_9,0.3,Non-CV,RMSE_Score,3.023508080215387e-14
LinearRegression(),dataset_9,0.3,Non-CV,RMSLE_Score,-31.129773528718307
LinearRegression(),dataset_9,0.3,10 Fold-CV,Mean_Score,0.9999049114247617
LinearRegression(),dataset_9,0.3,10 Fold-CV,Min_Score,0.9995245571238086
LinearRegression(),dataset_9,0.3,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_9,0.3,10 Fold-CV,cv_scores,[1.         0.99952456 1.         1.         1.        ]
LinearRegression(),dataset_10,0.3,Non-CV,R2_Score,0.005578147369253328
LinearRegression(),dataset_10,0.3,Non-CV,MSE_Score,0.9909521622364875
LinearRegression(),dataset_10,0.3,Non-CV,MAE_Score,0.7692671702764997
LinearRegression(),dataset_10,0.3,Non-CV,RMSE_Score,0.9954658016408637
LinearRegression(),dataset_10,0.3,Non-CV,RMSLE_Score,-0.0045445090153616455
LinearRegression(),dataset_10,0.3,10 Fold-CV,Mean_Score,0.006224217341907834
LinearRegression(),dataset_10,0.3,10 Fold-CV,Min_Score,0.004354107887516667
LinearRegression(),dataset_10,0.3,10 Fold-CV,Max_Score,0.008454237777419937
LinearRegression(),dataset_10,0.3,10 Fold-CV,cv_scores,[0.00435411 0.00845424 0.00709323 0.00484478 0.00637474]
LinearRegression(),dataset_11,0.3,Non-CV,R2_Score,-4.4363925135446835e+22
LinearRegression(),dataset_11,0.3,Non-CV,MSE_Score,4.420913259495019e+22
LinearRegression(),dataset_11,0.3,Non-CV,MAE_Score,8073918930.715572
LinearRegression(),dataset_11,0.3,Non-CV,RMSE_Score,210259678956.64206
LinearRegression(),dataset_11,0.3,Non-CV,RMSLE_Score,26.071609170205466
LinearRegression(),dataset_11,0.3,10 Fold-CV,Mean_Score,-5.1932466755827787e+23
LinearRegression(),dataset_11,0.3,10 Fold-CV,Min_Score,-1.1523504360787494e+24
LinearRegression(),dataset_11,0.3,10 Fold-CV,Max_Score,-1.6377009811752097e+21
LinearRegression(),dataset_11,0.3,10 Fold-CV,cv_scores,"[-1.63770098e+21 -6.45891573e+23 -7.20452387e+22 -7.24698389e+23
 -1.15235044e+24]"
LinearRegression(),dataset_12,0.3,Non-CV,R2_Score,0.9999999575975342
LinearRegression(),dataset_12,0.3,Non-CV,MSE_Score,4.225451706529284e-08
LinearRegression(),dataset_12,0.3,Non-CV,MAE_Score,3.1502489668037312e-06
LinearRegression(),dataset_12,0.3,Non-CV,RMSE_Score,0.0002055590354747094
LinearRegression(),dataset_12,0.3,Non-CV,RMSLE_Score,-8.489777288034999
LinearRegression(),dataset_12,0.3,10 Fold-CV,Mean_Score,0.999992824431539
LinearRegression(),dataset_12,0.3,10 Fold-CV,Min_Score,0.9999642626744382
LinearRegression(),dataset_12,0.3,10 Fold-CV,Max_Score,0.9999999996104212
LinearRegression(),dataset_12,0.3,10 Fold-CV,cv_scores,[0.99999998 0.99996426 1.         0.99999998 0.9999999 ]
LinearRegression(),dataset_1,0.5,Non-CV,R2_Score,0.9999999005008156
LinearRegression(),dataset_1,0.5,Non-CV,MSE_Score,9.935868448095365e-08
